Tempo,Posicao_mm
0,5
3.15544362088405e-30,5
0.000135770569278355,5.00008928755877
0.000585565399782006,5.00165240824603
0.00145612553193782,5.01012057904675
0.00326755999570205,5.04995017303315
0.00671883337145208,5.20337219454814
0.0122319312128873,5.63555683059786
0.0204448620892541,6.63062943497305
0.0320987743029091,8.57917405478393
0.0480710165206153,11.9067884041529
0.0693747825199208,16.9403240990403
0.097151630084102,23.7680346326321
0.132907256542515,32.2304780722449
0.180276183285962,42.2760791852623
0.230276183285962,51.2903145916534
0.280276183285962,58.7907947090501
0.330276183285962,64.9757591342744
0.380276183285962,70.0426079228545
0.430276183285962,74.1700024028054
0.480276183285962,77.5147198333317
0.530276183285962,80.2120641011018
0.580276183285962,82.3773959791659
0.630276183285962,84.1080896701769
0.680276183285963,85.485625701911
0.730276183285963,86.5776624649309
0.780276183285963,87.439994062453
0.830276183285963,88.1183428843092
0.880276183285963,88.6499625653973
0.930276183285963,89.0650452485888
0.980276183285963,89.3879387127992
1.03027618328596,89.6381860498103
1.08027618328596,89.8314043934562
1.13027618328596,89.9800209028982
1.18027618328596,90.0938841744697
1.23027618328596,90.1807685686402
1.28027618328596,90.2467875344456
1.33027618328596,90.2967303148684
1.38027618328596,90.3343348038694
1.43027618328596,90.3625075060856
1.48027618328596,90.3835000338959
1.53027618328596,90.3990500997463
1.58027618328596,90.4104936702939
1.63027618328596,90.4188538105133
1.68027618328596,90.4249107843207
1.73027618328596,90.4292571606276
1.78027618328596,90.4323409612069
1.83027618328596,90.4344993212637
1.88027618328596,90.4359846547325
1.93027618328596,90.4369849120269
1.98027618328596,90.4376392087281
2.03027618328596,90.4380498344542
2.08027618328596,90.4382914446782
2.13027618328596,90.438418067631
2.18027618328596,90.4384684225965
2.23027618328596,90.4384699388009
2.28027618328596,90.4384417776992
2.33027618328596,90.4383970943032
2.38027618328596,90.4383447197548
2.43027618328596,90.4382904058731
2.48027618328596,90.4382377392896
2.53027618328596,90.4381888081144
2.58027618328596,90.4381446836489
2.63027618328596,90.4381057653656
2.68027618328596,90.4380720247714
2.73027618328596,90.4380431755094
2.78027618328596,90.4380187900973
2.83027618328596,90.4379983770595
2.88027618328596,90.437981432267
2.93027618328596,90.4379674700197
2.98027618328596,90.4379560410201
3.03027618328596,90.4379467412591
