Tempo,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10
0,0,0,0,0,0,0,0,0,0,0
0.002,-0.000618830881595661,-0.0010975502181457,0.0026203210994513,-0.00465415077185725,-0.00435744788339531,-0.00238737809070715,-0.00480694898882169,-0.000696049763457146,-0.00656383414737255,0.00265505706390547
0.004,2.44662748784738e-05,-0.00063108437702279,0.00613468894483752,-0.00840728314607481,-0.00748680721664453,-0.0040123926074792,-0.00826344619778945,-0.000656221499863035,-0.0117248001194338,0.00628005829911676
0.006,0.00179777532996124,0.0011866194388954,0.0104071188565914,-0.0114044517213168,-0.00958394652897354,-0.00500412075861338,-0.0105584028821722,-1.021018114814e-05,-0.0156373174326833,0.010766227493628
0.008,0.00458318976692827,0.00423247902484093,0.0153525321070054,-0.0137130930229154,-0.0107191054727427,-0.00541435699195906,-0.0117687389854176,0.00118973603090692,-0.0183840234984094,0.0160180026169226
0.01,0.0079924011231728,0.00815259763890165,0.0206913513166929,-0.0156317864329424,-0.0112505727605973,-0.0054442154426285,-0.0123005977251427,0.00276192817563852,-0.0204797260714846,0.0217178718272948
0.012,0.0131033573330742,0.0137185455973448,0.0272136114362506,-0.0160916134036019,-0.010016920192411,-0.00432513612640831,-0.0109244995317179,0.00539505862046515,-0.0204459444106834,0.028716202748359
0.014,0.0182143135429757,0.019284493555788,0.0337929801482708,-0.0164262110439171,-0.00878326762422459,-0.00295297870857274,-0.00954840133829314,0.00828252263896716,-0.0204121627498821,0.0357626568549413
0.016,0.0237669533586854,0.0261066591178126,0.0406163135365922,-0.0167608086842324,-0.00754961505603822,-0.00158082129073718,-0.00817230314486839,0.0111699866574692,-0.0203783810890809,0.0433077907658902
0.018,0.0311721435818035,0.0340979062753835,0.0487550551047139,-0.0166550091134082,-0.00447679007116709,-0.000208663872901621,-0.00449836172036467,0.0140574506759712,-0.0178473611274378,0.0519850917313445
0.02,0.0385773338049216,0.0420891534329545,0.0568937966728357,-0.0149122096060529,-0.000780778567233506,0.0028226461122836,-0.00050511585583582,0.0185658586412522,-0.0150597750770322,0.0606623926967989
0.022,0.0459825240280397,0.0509624374304659,0.0650325382409574,-0.0131694100986977,0.00291523293670007,0.00604062888900851,0.00348813000869302,0.0231913790919319,-0.0122721890266266,0.0696988903493556
0.024,0.0550603799423385,0.0610380345581952,0.0744318950131582,-0.0114266105913424,0.00725314402567161,0.00925861166573343,0.0087304898252695,0.0278168995426116,-0.0078934854425665,0.0798762280674296
0.026,0.0645038539472186,0.0711136316859245,0.0840340107301464,-0.00889059798139307,0.013179343190646,0.0124765944424583,0.0150606441286848,0.0324424199932914,-0.00262879456585322,0.0900535657855035
