Tempo,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10
0,0,0,0,0,0,0,0,0,0,0
0.002,0.00178045933613512,0.00132335798623791,0.00418439682757834,-0.0044212989965537,-0.00074174668588831,-0.000657860234379093,0.00509318891565824,-0.0050187719039631,0.00174652862342231,0.000306912069473924
0.004,0.00434101187890545,0.0037809551907966,0.00950520310700899,-0.00739626264984728,-0.000313969018362918,-0.000218600891675527,0.0111240229650274,-0.00777465238921889,0.00470560150947618,0.00164980284115315
0.006,0.00765018251592581,0.00726340062298778,0.0158766489825431,-0.00906757881813327,0.00117356840822883,0.00122688664586386,0.018055026959686,-0.0086144002633472,0.00876470416979029,0.00397186635130716
0.008,0.0115835122453327,0.0116622009031222,0.023151607573078,-0.00948017354948055,0.00363267785037056,0.00358592394016127,0.0257283938540576,-0.00752976145593814,0.0138052367008149,0.00716016286376163
0.01,0.0161560145319636,0.0167323755979905,0.0311058416420374,-0.00912628107613028,0.00678668296546953,0.00663724814263263,0.0340694376145102,-0.00566766383266616,0.0195381961690175,0.0110627828943738
0.012,0.0212667956676245,0.0229399961441595,0.0401655632690034,-0.00705159098518514,0.0111212626277163,0.0107913497272246,0.0431815339190081,-0.000779509084243489,0.0265324571500813,0.0159681558201883
0.014,0.0273685527519738,0.0298034130963463,0.0497789340001378,-0.00426737466671361,0.0161591152174263,0.0157405925210684,0.0529750769329315,0.00410864566417919,0.0341330196981898,0.0217692920992577
0.016,0.0334703098363231,0.0366668300485331,0.0593923047312723,-0.00148315834824208,0.0211969678071362,0.0206898353149122,0.0627686199468549,0.0097651278823529,0.0417335822462983,0.0275704283783271
0.018,0.0395720669206724,0.0445287211871915,0.070351463322258,0.00293745005026106,0.0275630561830833,0.0263291993671273,0.0734426958810809,0.0176078966278602,0.0504961122900986,0.0334945687277866
0.02,0.0467716021067809,0.0533731433599998,0.0818084409637018,0.00843421144503907,0.0347086930174983,0.0334461833804168,0.0848491721546559,0.0254506653733675,0.0601346666109793,0.0414552941999312
0.022,0.0546575507916,0.062217565532808,0.0932654186051456,0.0139309728398171,0.0418543298519133,0.0405631673937063,0.0962556484282308,0.0352163643571791,0.0697732209318599,0.0494160196720759
0.024,0.0625434994764192,0.0711116169906639,0.104900567239574,0.0202237129092577,0.0495531037442487,0.0476801514069957,0.107662124701806,0.0454098373055141,0.079587721793064,0.0573767451442205
0.026,0.0704294481612384,0.0816091139741405,0.117947071692491,0.0280237880073327,0.0585557153852677,0.056175434626785,0.120449045734767,0.055603310253849,0.0908946102881473,0.0659936658191981
0.028,0.0791113198304631,0.0921066109576171,0.130993576145408,0.0358238631054076,0.0675583270262867,0.0651802596818291,0.133310857609254,0.0675505231748992,0.102201498783231,0.0758011966068932
0.03,0.0885358895161556,0.102604107941094,0.144040080598325,0.0436354653473868,0.0765609386673057,0.0741850847368733,0.14617266948374,0.0797384888763555,0.113508387278314,0.0856087273945882
0.032,0.0979604592018481,0.113388484291178,0.157086585051242,0.0533889192336597,0.0865278030729493,0.0831899097919174,0.159034481358227,0.0919264545778119,0.125173638990374,0.0954162581822833
0.034,0.107385028887541,0.125137781079621,0.170977534233088,0.0631423731199325,0.0970478979956694,0.0934304940882969,0.172289842566258,0.104953645299911,0.137710526423596,0.105644311816958
0.036,0.116809598573233,0.136887077868063,0.185147106605104,0.0728958270062053,0.10756799291839,0.103963700536849,0.18625284951056,0.118542008738196,0.150247413856818,0.116981319190233
0.038,0.127401912282172,0.148636374656506,0.19931667897712,0.0830024397161993,0.11808808784111,0.114496906985401,0.200215856454861,0.132130372176482,0.162784301290041,0.128318326563508
0.04,0.138048099726676,0.160469489972692,0.213486251349136,0.094351484674442,0.129341960867775,0.125030113433953,0.214178863399163,0.146109662448417,0.175420098174619,0.139655333936783
0.042,0.14869428717118,0.173025685741428,0.227658634072358,0.105700529632685,0.140975348850317,0.136196311667449,0.228141870343465,0.160509621681717,0.188712842434012,0.150992341310058
0.044,0.159340474615684,0.185581881510164,0.242381916468202,0.117049574590927,0.15260873683286,0.147837931754131,0.242230280162461,0.174909580915015,0.202005586693406,0.163020348871265
0.046,0.169986662060188,0.198138077278901,0.257105198864046,0.128528127230588,0.164242124815402,0.159479551840814,0.256767350557394,0.189608268125846,0.215298330952799,0.175488904303062
0.048,0.181412120844449,0.210694273047637,0.27182848125989,0.141012748127281,0.176118193248138,0.171121171927496,0.271304420952327,0.204427142437724,0.228591075212192,0.187957459734859
0.05,0.192882049985524,0.22345518879975,0.286551763655734,0.153497369023974,0.188420612997489,0.182769258573765,0.28584149134726,0.219246016749602,0.242035580058018,0.200426015166657
0.052,0.204351979126599,0.236343152044645,0.301360632424276,0.165981989920667,0.200723032746841,0.195063461208511,0.300378561742193,0.234202139322379,0.255589961622721,0.212894570598454
0.054,0.215821908267673,0.249231115289541,0.316189234201985,0.17846661081736,0.213025452496192,0.207357663843256,0.314968068269433,0.249169752375486,0.269144343187424,0.225618887771321
0.056,0.227291837408748,0.262119078534437,0.331017835979694,0.191396630864501,0.225327872245544,0.219651866478002,0.329623652411957,0.264137365428593,0.282698724752127,0.238716094446442
0.058,0.238953600372331,0.275007041779332,0.345846437757403,0.204510648836933,0.237762956604803,0.231946069112747,0.344279236554481,0.278958492064279,0.296253106316829,0.251813301121562
0.06,0.250795540666215,0.287770177062337,0.360675039535112,0.217624666809365,0.250256669918669,0.244250979571404,0.358934820697005,0.29372220181406,0.309628417454202,0.264910507796683
0.062,0.2626374809601,0.300469583045045,0.375186707597467,0.230738684781797,0.262750383232536,0.256711828996105,0.37359040483953,0.308485911563841,0.322914218406328,0.278007714471803
0.064,0.274479421253985,0.313168989027753,0.389689995878936,0.243943241001905,0.275244096546402,0.269172678420806,0.388181511827195,0.323249621313623,0.336200019358455,0.291121387551834
0.066,0.28632136154787,0.325868395010461,0.404193284160406,0.257233719910256,0.287737809860269,0.281633527845507,0.402502759412936,0.338013331063404,0.349485820310581,0.304344502303852
0.068,0.298163301841755,0.338567800993169,0.418696572441876,0.270524198818607,0.300053629916028,0.294094377270209,0.416824006998678,0.352369370743535,0.362771621262707,0.317567617055871
0.07,0.309931775551134,0.351258214912378,0.433199860723345,0.283814677726959,0.312205439593824,0.30655522669491,0.431145254584419,0.366456473126096,0.376057422214834,0.330790731807889
0.072,0.321645882485375,0.36314576002457,0.447703149004815,0.29710515663531,0.32435724927162,0.318797201599383,0.445466502170161,0.380543575508656,0.388580856683399,0.344013846559907
0.074,0.333359989419616,0.375033305136763,0.461666707204122,0.31016030096485,0.336509058949416,0.330884887416119,0.459787749755903,0.394630677891217,0.40094279021697,0.357236961311925
0.076,0.345074096353857,0.386920850248956,0.475316160765016,0.323160242879954,0.348660868627212,0.342972573232856,0.474108997341644,0.408717780273777,0.413304723750542,0.370356254239963
0.078,0.356788203288099,0.398808395361148,0.488965614325909,0.336160184795057,0.360812678305008,0.355060259049592,0.488285947855947,0.422463626737047,0.425666657284114,0.383172294614733
0.08,0.36850231022234,0.410695940473341,0.502615067886803,0.349160126710161,0.372387726839914,0.367147944866329,0.501704779824654,0.435466097129867,0.438028590817686,0.395988334989502
0.082,0.380216417156581,0.422583485585533,0.516264521447697,0.362160068625264,0.383541873995487,0.379235630683065,0.515123611793361,0.448468567522687,0.450390524351257,0.408804375364272
0.084,0.391275241429143,0.434162693206311,0.529913975008591,0.375160010540368,0.39469602115106,0.391030282299766,0.528542443762068,0.461471037915508,0.462752457884829,0.421620415739041
0.086,0.402280083084364,0.444439930220785,0.543563428569484,0.387416492071494,0.405850168306633,0.402081105839713,0.541961275730774,0.474473508308328,0.474064512841484,0.434436456113811
0.088,0.413284924739585,0.45471716723526,0.556682731630897,0.399501068132982,0.417004315462206,0.413131929379659,0.555380107699481,0.487475978701148,0.484747254461092,0.447252496488581
0.09,0.424289766394806,0.464994404249735,0.568893923556364,0.411585644194469,0.428158462617779,0.424182752919606,0.568798939668188,0.499673357863787,0.4954299960807,0.460018911251139
0.092,0.435294608050027,0.475271641264209,0.581105115481831,0.423670220255957,0.439312609773352,0.435233576459553,0.582217771636895,0.511094406971069,0.506112737700309,0.471758061978496
0.094,0.446299449705248,0.485548878278684,0.593316307407298,0.435754796317445,0.449896753640649,0.446284399999499,0.595412097703363,0.522515456078351,0.516795479319917,0.483497212705853
0.096,0.457304291360469,0.495826115293159,0.605527499332766,0.447839372378932,0.459250367996466,0.457335223539446,0.607275432768517,0.533936505185633,0.527478220939525,0.495236363433211
0.098,0.468046684625989,0.506103352307633,0.617738691258233,0.45992394844042,0.468603982352283,0.468386047079393,0.61913876783367,0.545357554292915,0.538160962559133,0.506975514160568
0.1,0.477593850728547,0.516380589322108,0.6299498831837,0.471357596801083,0.4779575967081,0.478450508677791,0.631002102898824,0.556778603400198,0.548843704178741,0.518714664887926
0.102,0.487141016831105,0.525098364094977,0.642161075109167,0.481849600744738,0.487311211063917,0.487681686343425,0.642865437963977,0.56819965250748,0.558882594165323,0.530453815615283
0.104,0.496688182933663,0.533060364871021,0.654372267034634,0.492341604688393,0.496664825419734,0.496912864009058,0.65472877302913,0.579620701614762,0.56724014147023,0.54219296634264
0.106,0.506235349036221,0.541022365647064,0.666091833918472,0.502833608632048,0.506018439775551,0.506144041674691,0.666592108094284,0.589254189801918,0.575597688775137,0.553932117069997
0.108,0.515782515138779,0.548984366423107,0.677213184212608,0.513325612575703,0.515372054131369,0.515375219340324,0.678455443159437,0.598546358871517,0.583955236080044,0.565186697595069
0.11,0.525329681241337,0.55694636719915,0.688112183860668,0.523817616519357,0.524725668487186,0.524606397005957,0.690318778224591,0.607838527941115,0.592312783384951,0.575105387851264
0.112,0.534876847343895,0.564908367975193,0.698786324652537,0.534309620463012,0.532845385982993,0.53383757467159,0.702182113289744,0.617130697010714,0.600670330689858,0.585024078107458
0.114,0.544424013446453,0.572870368751237,0.709242228257007,0.544801624406667,0.539770345308048,0.543068752337224,0.713734507578351,0.626422866080313,0.609027877994765,0.594942768363653
0.116,0.553971179549011,0.58083236952728,0.71948202550206,0.555293628350322,0.546695304633103,0.552299930002857,0.724431777494929,0.635715035149912,0.617385425299672,0.604861458619847
0.118,0.562358877771704,0.588794370303323,0.729495883859453,0.563747805603083,0.553620263958157,0.56072010451768,0.734976458339994,0.645007204219511,0.625742972604578,0.614780148876042
0.12,0.569735189076868,0.595016907346065,0.73928644676287,0.572087942393206,0.560545223283212,0.567538210921882,0.744913069628108,0.654299373289109,0.633957780749864,0.624698839132236
0.122,0.577111500382033,0.600320476941822,0.748466687852803,0.58042807918333,0.567470182608266,0.574356317326084,0.75376174428347,0.663591542358708,0.639624504712091,0.634617529388431
0.124,0.584487811687197,0.60562404653758,0.756656075528101,0.588768215973453,0.574395141933321,0.581174423730286,0.76171621759826,0.67216723912899,0.645291228674319,0.644536219644625
0.126,0.591864122992361,0.610927616133337,0.763981297195331,0.597108352763577,0.581320101258376,0.587992530134489,0.768725300566322,0.680023500868482,0.650957952636547,0.65445490990082
0.128,0.599240434297525,0.616231185729094,0.770466440922296,0.605448489553701,0.58824506058343,0.594810636538691,0.774957103631981,0.687651717857567,0.656624676598775,0.664364676755988
0.13,0.60661674560269,0.621534755324852,0.77612048392312,0.613788626343824,0.594214506724209,0.601628742942893,0.780281544176012,0.695002593474243,0.662291400561003,0.673005227048221
0.132,0.613993056907854,0.626838324920609,0.780999055520502,0.622128763133948,0.598442301046361,0.608446849347095,0.784850493368373,0.702128399458494,0.667958124523231,0.681434589870894
0.134,0.621369368213018,0.632141894516366,0.785113347006194,0.630468899924071,0.602670095368513,0.615264955751298,0.788612263157215,0.709005570097861,0.673624848485459,0.689637694341168
0.136,0.628745679518182,0.637445464112124,0.788506713886111,0.637731573000866,0.606897889690664,0.6220830621555,0.791591861822946,0.715578402725723,0.679291572447686,0.697619410616226
0.138,0.635192339192443,0.642749033707881,0.791199415760521,0.643580539965215,0.611125684012816,0.626967834959975,0.793851373275169,0.720980307700127,0.684958296409914,0.705326768059949
0.14,0.639982739583235,0.645385197343358,0.793184088379733,0.649429506929563,0.615353478334968,0.631107794212099,0.795445554379921,0.725262152148455,0.690459615706507,0.712908442464186
0.142,0.644773139974028,0.648001140680067,0.794523612183043,0.655278473893912,0.61958127265712,0.635247753464222,0.796287304684601,0.728448520101477,0.694546343087669,0.720133613747148
0.144,0.64956354036482,0.650617084016776,0.795243622415526,0.661127440858261,0.623809066979272,0.639387712716346,0.796542684489629,0.730650845104727,0.698360825194314,0.727140882555755
0.146,0.654353940755612,0.653233027353485,0.795345148454128,0.66697640782261,0.628036861301423,0.64352767196847,0.796090345779293,0.731894460597225,0.701969738286991,0.733972352496596
