Tempo,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10
0,0,0,0,0,0,0,0,0,0,0
0.01,0.0145619261309454,0.0184354465538471,0.000389013583622253,-0.00623901928754518,0.00963059257248601,0.0170246562731321,0.0301277302316116,0.0107641295034339,0.0160963765070821,-0.012111087669747
0.02,0.0406471516864686,0.0470808197794489,0.0192333272482655,0.00339612446318984,0.0319394559998418,0.0440808543618992,0.0669607333056166,0.035325103897423,0.0432972283869691,-0.00297939461239439
0.03,0.0645039802134837,0.0690410049407276,0.0343889517764007,0.0219822996261003,0.0537512568243458,0.064404926762831,0.0969719272748825,0.054413650443897,0.064299523712639,0.0138883112832862
0.04,0.0818112166987033,0.0847638499524164,0.0450448604112258,0.0367264812855392,0.0694546827857369,0.0788028989149668,0.119659896340794,0.0678973619889412,0.0793339630887505,0.0262306913919744
0.05,0.09369066207984,0.0953991414720224,0.052269755099078,0.0471646153752738,0.0801633773687293,0.0884697282326317,0.135925808485111,0.0769901328686536,0.0895038422731046,0.0349854527137014
0.06,0.100941481827416,0.101689979314747,0.0567527479214699,0.0541612585074242,0.0866261236022636,0.0939771476241043,0.146565376483662,0.0824871657868694,0.0954939975542111,0.0410410693669261
0.07,0.104395972424724,0.104499847609544,0.0590809412416079,0.0585857605024364,0.0899107383664375,0.096337399752554,0.152370160903577,0.0848549515356197,0.098031310202892,0.0450340606211215
0.08,0.104804955746018,0.104434725741181,0.0597474138037213,0.0609160387025324,0.0902803206367371,0.0959680078891841,0.15411444834322,0.0849454491824056,0.0979743954405008,0.0474153135238842
0.09,0.102738345906861,0.102071092207962,0.0592244974102765,0.0615959762282514,0.0886877986214792,0.0936548976890506,0.152294323851992,0.0832980871272764,0.0958217548380478,0.0486068621768368
0.1,0.0988392345803566,0.0980640114238646,0.0578169466932099,0.0611591969673231,0.0855567788235471,0.0898932448014856,0.147906075292538,0.0803545074375662,0.0920881741526618,0.0489103602083186
0.11,0.0935829605167442,0.0927291473023851,0.0555176928353949,0.059883546396879,0.0809685169261661,0.0847812229010839,0.141117996086416,0.0761092695735034,0.0872912559668043,0.0483652382492031
0.12,0.0873605328358919,0.0863046845810446,0.0528174315362458,0.0577008901933957,0.0757490654453092,0.0789100532793047,0.132575384950737,0.0713573387287806,0.0813420080698934,0.0472877827995907
0.13,0.0802484164075017,0.0794335974863188,0.0498814319421779,0.0551363860456977,0.0700229298242276,0.0726539203558481,0.12276240762707,0.0661439949440835,0.0749781918999414,0.045938011478896
0.14,0.0728781192634379,0.0721520104920117,0.0466301472164564,0.052298278194713,0.0638131224693833,0.0659335833712353,0.112041788111321,0.0605633131446204,0.0682822976234003,0.044176820143303
0.15,0.0653080308227117,0.0647210788286773,0.043373422047796,0.0491407811580124,0.0575800718536645,0.0592119450624717,0.100675491871745,0.0549350093469569,0.0614140081741986,0.0423094238243204
0.16,0.057783572214373,0.0572420258679829,0.040089600663088,0.0459499958642216,0.0513408932378373,0.0524881483840283,0.0889917637323951,0.0493307685093498,0.0545172855988109,0.0402691327439019
0.17,0.0502753459870576,0.0500585828005218,0.0368082624028359,0.042681386500726,0.0452249948771364,0.0459574819184496,0.0772968796622295,0.0437443460335024,0.0479169665284845,0.0381982121467511
0.18,0.0432882930872039,0.0429283347793076,0.0337555455502033,0.0394127771372305,0.0394462668368475,0.0397276953675195,0.0656279044854023,0.0385842148973981,0.0413310241687897,0.0360662517779872
0.19,0.0363012401873502,0.0363513561008137,0.0307028286975706,0.0362803611215691,0.0336675387965586,0.0335403675169505,0.0544554256599744,0.0334240837612938,0.0353461069823692,0.0339342914092233
