Tempo,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10
0,0,0,0,0,0,0,0,0,0,0
0.002,0.190721376906106,0.189223360753767,0.190657469034426,0.185253404033322,0.18802294565313,0.188294020888607,0.191908942865505,0.183222385321422,0.18921802575037,0.189084289033208
0.004,0.216368456437687,0.212271187199573,0.216156472274055,0.201159165642304,0.20890355798427,0.209641580775368,0.219558628925635,0.195207373595784,0.212210890006588,0.211765596084338
0.006,0.219221731362517,0.213616614926992,0.219895301934054,0.195747462692968,0.20804978159279,0.209037280039976,0.224868525790761,0.187719182271173,0.213636769374999,0.212231194402789
0.008,0.220449268109521,0.213676432987523,0.222378687113346,0.189418208264846,0.205945059281091,0.207108501501259,0.228729731599983,0.180239423000994,0.213874563092343,0.211329898244767
0.01,0.222099199370787,0.214239361436485,0.225398850948758,0.183730306107178,0.204364197229352,0.205690411106669,0.233086190382194,0.173517425499657,0.214660999889622,0.210964356148391
0.012,0.224522548728875,0.216479853371863,0.230119000554456,0.180506708096916,0.204483888581786,0.205852446559724,0.238603235135563,0.171303717155624,0.217341417437147,0.212034231214834
0.014,0.228369767394873,0.219687547485701,0.235690535227315,0.178299201931104,0.205616606323574,0.207153808224612,0.245145991427218,0.169090008811592,0.220932262416272,0.214386370433531
0.016,0.23221698606087,0.222895241599539,0.241262069900175,0.176091695765292,0.206749324065363,0.2084551698895,0.251688747718873,0.168048084417034,0.224523107395397,0.216738509652227
0.018,0.236064204726868,0.227655138022232,0.249165021210003,0.17620115946615,0.209836765995127,0.210760312913771,0.259704671359806,0.170340487587924,0.229983635213906,0.219269472734275
0.02,0.241526836528173,0.233942451938929,0.257930384532202,0.177834349720516,0.214071445669315,0.215214654148048,0.268945930523863,0.172632890758815,0.236853744250319,0.224761232304838
0.022,0.247999546213426,0.240229765855626,0.2666957478544,0.179467539974883,0.218306125343503,0.219668995382325,0.278187189687921,0.178237891352339,0.243723853286731,0.230252991875401
0.024,0.254472255898679,0.246606440599299,0.275861660630589,0.182265858596187,0.22342299150051,0.224123336616601,0.287428448851978,0.184579810479945,0.250932882900593,0.235744751445964
0.026,0.260944965583932,0.255870225605435,0.288200468124441,0.187270566479218,0.230619320642696,0.230751627809895,0.29960024209989,0.19092172960755,0.261016654340709,0.242291769202447
0.028,0.268723549580105,0.265134010611571,0.300539275618294,0.192275274362249,0.237815649784882,0.238183604042435,0.31193102045906,0.201054965330723,0.271100425780825,0.250753462747874
0.03,0.277720681450229,0.274397795617707,0.312878083112146,0.197298942823403,0.245011978927068,0.245615580274976,0.324261798818229,0.211708671605964,0.281184197220941,0.2592151562933
0.032,0.286717813320352,0.284315822901069,0.325216890605999,0.205516692152365,0.254018110268614,0.253047556507516,0.336592577177399,0.222362377881204,0.292174017849899,0.267676849838726
0.034,0.295714945190476,0.296434397935215,0.340305882654229,0.213734441481327,0.264062597779094,0.2627785433205,0.350111290359604,0.235534874839645,0.305367593777147,0.276953963432244
0.036,0.3047120770606,0.30855297296936,0.356302293705557,0.221952190810289,0.274107085289574,0.273053925353373,0.365766043272624,0.250391635939922,0.318561169704395,0.288381407542532
0.038,0.316018263003093,0.320671548003505,0.372298704756886,0.230885070919021,0.284151572800054,0.283329307386245,0.381420796185645,0.265248397040198,0.331754745631643,0.299808851652821
0.04,0.327430976888375,0.333056935390248,0.388295115808214,0.242333820610563,0.295964450748194,0.293604689419118,0.397075549098666,0.281673835829262,0.345307310291488,0.31123629576311
0.042,0.338843690773657,0.347744042955785,0.404305284166444,0.253782570302105,0.308691952089038,0.305399640631579,0.412730302011686,0.299787298967782,0.361244244718175,0.322663739873399
0.044,0.35025640465894,0.362431150521323,0.423012231435948,0.265231319993648,0.321419453429882,0.318335896380035,0.428966907206187,0.317900762106303,0.377181179144861,0.335871683530926
0.046,0.361669118544222,0.37711825808686,0.441719178705452,0.277028338402888,0.334146954770726,0.331272152128491,0.447285236446926,0.337494412141978,0.393118113571548,0.350214786480479
0.048,0.375159846131953,0.391805365652397,0.460426125974956,0.291530849628888,0.347705861576163,0.344208407876948,0.465603565687664,0.357683585146904,0.409055047998235,0.364557889430032
0.05,0.388769158872373,0.407688612821069,0.47913307324446,0.306033360854889,0.362725416794722,0.357166925587697,0.483921894928402,0.377872758151829,0.42609387266446,0.378900992379584
0.052,0.402378471612792,0.424314174125809,0.498997796544102,0.320535872080889,0.377744972013281,0.372349780611127,0.50224022416914,0.399031539632762,0.443930480779796,0.393244095329137
0.054,0.415987784353211,0.440939735430549,0.51912945959474,0.335038383306889,0.392764527231839,0.387532635634558,0.521229191638739,0.42027149713041,0.461767088895133,0.408546702455535
0.056,0.42959709709363,0.457565296735289,0.539261122645379,0.351196046988037,0.407784082450398,0.402715490657989,0.541063266726543,0.441511454628059,0.479603697010469,0.425248224968643
0.058,0.444104007148054,0.474190858040029,0.559392785696017,0.368037467289464,0.423891175448229,0.41789834568142,0.560897341814347,0.462675396180333,0.497440305125806,0.441949747481751
0.06,0.459453973372707,0.491481636139321,0.579524448746655,0.384878887590892,0.44047888798084,0.433177614736636,0.58073141690215,0.483809542486472,0.515816331369656,0.458651269994859
0.062,0.47480393959736,0.509112032063181,0.600102566028059,0.401720307892319,0.457066600513451,0.449860969678425,0.600565491989954,0.504943688792611,0.534461991284057,0.475352792507967
0.064,0.490153905822013,0.526742427987041,0.620692487634619,0.419233653636277,0.473654313046063,0.466544324620214,0.620506677818941,0.52607783509875,0.553107651198458,0.492235580056853
0.066,0.505503872046666,0.5443728239109,0.64128240924118,0.437384670660649,0.490242025578674,0.483227679562003,0.640896159491909,0.547211981404889,0.571753311112858,0.510323120476614
0.068,0.520853838271318,0.56200321983476,0.66187233084774,0.455535687685021,0.507150255954028,0.499911034503792,0.661285641164876,0.567644397612048,0.590398971027259,0.528410660896375
0.07,0.53680072224788,0.579633393661982,0.6824622524543,0.473686704709393,0.524353990797012,0.516594389445581,0.681675122837844,0.587613887029888,0.60904463094166,0.546498201316136
0.072,0.553189337569548,0.597243737284177,0.70305217406086,0.491837721733764,0.541557725639996,0.533594420516043,0.702064604510811,0.607583376447729,0.627489633299002,0.564585741735898
0.074,0.569577952891217,0.614854080906373,0.723408558017647,0.510249761705359,0.55876146048298,0.550817683011296,0.722454086183779,0.62755286586557,0.64589212803858,0.582673282155659
0.076,0.585966568212886,0.632464424528568,0.743629030967319,0.528723029810035,0.575965195325965,0.56804094550655,0.742843567856746,0.64752235528341,0.664294622778159,0.600858384068674
0.078,0.602355183534554,0.650074768150764,0.76384950391699,0.547196297914711,0.593168930168949,0.585264208001803,0.7631727811159,0.667108025857168,0.682697117517738,0.619328452771864
0.08,0.618743798856223,0.667685111772959,0.784069976866661,0.565669566019387,0.610149316352378,0.602487470497057,0.783185351758746,0.685857603258765,0.701099612257317,0.637798521475054
0.082,0.635132414177892,0.685295455395155,0.804290449816332,0.584142834124063,0.626966710004085,0.61971073299231,0.803197922401593,0.704607180660362,0.719502106996895,0.656268590178245
0.084,0.651690109289644,0.70269122099449,0.824510922766004,0.60261610222874,0.643784103655791,0.636802629841899,0.823210493044439,0.723356758061959,0.737904601736474,0.674738658881435
