Tempo,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10
0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.01,0.00506318815354091,0.00507677754813181,0.00497740165372035,0.00495228815161807,0.0050355837123161,0.00506621992571561,0.00514604364582212,0.00503445407466426,0.00506428723600837,0.00491646006328179
0.02,0.00532844341607104,0.00540411857328615,0.00507280233848837,0.00492816828803626,0.00523358981329347,0.00537416013123673,0.00562645821691794,0.0052650973795695,0.00536096859348102,0.00482598004538087
0.03,0.0058605204362521,0.00599026279803041,0.0053451387891195,0.00505152324352919,0.00566767324081334,0.00592174866244025,0.00645345585309149,0.00571923657433637,0.00590546350970094,0.00488478739343465
0.04,0.00659870930122555,0.00676605221024285,0.00574874466417173,0.00535086894532019,0.00628963553572779,0.00664435431901911,0.00754272609749952,0.00633828330420405,0.00662950578780812,0.00508906471816042
0.05,0.00747984528368387,0.00767046928668905,0.00623923562627587,0.0057750084745108,0.00704123670990384,0.0074830016562871,0.00882519056991037,0.00706625058414594,0.00747605395214139,0.00540028413339278
0.06,0.00845654540686318,0.00865951966850136,0.00678721792330049,0.00628642910390626,0.00787977521867449,0.00839950424201652,0.0102419194461858,0.00786510817281354,0.00840426858148783,0.0057844139453543
0.07,0.00948627379907165,0.00969287337868609,0.00736824853571554,0.00685227884760678,0.00876336635165069,0.00935268408064064,0.0117401520197633,0.00870429127825317,0.0093750212634867,0.00621725151884006
0.08,0.010533704403834,0.010738649681107,0.00796303836534579,0.0074513470371054,0.00966557259348633,0.0103151005278319,0.0132753238851828,0.00955418190526818,0.0103564754221832,0.00668105818775179
0.09,0.0115715502617385,0.011770858448349,0.008557733494166,0.00806476311836857,0.0105606301520033,0.0112629226168724,0.0148085772920401,0.0103954322609992,0.0113251160345343,0.00716133325125772
0.1,0.0125786209320875,0.0127723112828674,0.00914504202982967,0.00867822536513334,0.0114348059294927,0.0121831423334305,0.0163129388330716,0.0112174214422118,0.0122629682406757,0.00764883500920617
