Tempo,Corrente
0,0.05
3.15544362088405e-30,0.05
0.000136906493032047,0.0594739797335989
0.00059075356044493,0.0833380346728396
0.0014693367548986,0.115830195699627
0.00329857199656153,0.162429065655904
0.00679195644863436,0.222198646974756
0.012379188980621,0.286127813338723
0.0207135617263023,0.349906941842395
0.0325592617543649,0.409758412696842
0.0488282990878186,0.462848318116556
0.0705784526632919,0.50741771738017
0.0989934067322468,0.542972603478583
0.135608883320226,0.570531922708194
0.183986226672097,0.592470965475211
0.233986226672097,0.606719653994803
0.283986226672097,0.616409869726503
0.333986226672097,0.623241664954823
0.383986226672097,0.628133556545937
0.433986226672097,0.631668786445466
0.483986226672097,0.634242183975433
0.533986226672097,0.636127699819048
0.583986226672097,0.637517701196408
0.633986226672097,0.638548372792843
0.683986226672098,0.639316801246392
0.733986226672098,0.639892658294602
0.783986226672098,0.640326265515718
0.833986226672098,0.640654197571621
0.883986226672098,0.640903204222168
0.933986226672098,0.641092966205873
0.983986226672098,0.641238048519606
1.0339862266721,0.641349290869644
1.0839862266721,0.641434802738868
1.1339862266721,0.641500681452473
1.1839862266721,0.641551532121283
1.2339862266721,0.641590848364884
1.2839862266721,0.641621289432002
1.3339862266721,0.641644887488039
1.3839862266721,0.641663199802405
1.4339862266721,0.641677422467555
1.4839862266721,0.641688477027129
1.5339862266721,0.641697074288755
1.5839862266721,0.641703763873293
1.6339862266721,0.64170897136456
1.6839862266721,0.641713026494117
1.7339862266721,0.641716185166252
1.7839862266721,0.641718646200556
1.8339862266721,0.64172056403181
1.8839862266721,0.641722058813242
1.9339862266721,0.641723224000562
1.9839862266721,0.641724132368968
2.0339862266721,0.641724840593678
2.0839862266721,0.641725392792917
2.1339862266721,0.641725823382031
2.1839862266721,0.641726159150044
2.2339862266721,0.6417264209848
2.2839862266721,0.641726625183229
2.3339862266721,0.641726784419731
2.3839862266721,0.641726908617267
2.4339862266721,0.641727005474115
2.4839862266721,0.641727080993471
2.5339862266721,0.64172713990489
2.5839862266721,0.641727185845515
2.6339862266721,0.641727221677745
2.6839862266721,0.641727249625901
2.7339862266721,0.641727271433897
2.7839862266721,0.641727288424812
2.8339862266721,0.64172730167505
2.8839862266721,0.641727312017614
2.9339862266721,0.64172732007008
2.9839862266721,0.641727326358877
3.03398622667209,0.641727331267146
3.08398622667209,0.641727335091164
3.13398622667209,0.641727338078655
3.18398622667209,0.641727340396508
3.23398622667209,0.641727342218823
3.28398622667209,0.6417273436288
3.33398622667209,0.641727344732003
3.38398622667209,0.641727345586626
3.43398622667209,0.641727346259004
3.48398622667209,0.641727346793841
3.53398622667209,0.641727347200559
3.58398622667209,0.641727347522141
3.63398622667209,0.641727347766396
3.68398622667209,0.641727347961909
3.73398622667209,0.641727348112697
3.78398622667209,0.641727348227979
3.83398622667209,0.641727348328938
3.88398622667209,0.641727348384671
3.93398622667209,0.641727348440466
3.98398622667209,0.641727348495031
4.03398622667209,0.641727348529723
4.08398622667209,0.641727348546632
4.13398622667209,0.641727348572065
4.18398622667209,0.641727348588986
4.23398622667209,0.641727348601612
4.28398622667209,0.641727348608784
4.33398622667209,0.641727348618837
4.38398622667209,0.641727348625136
4.43398622667209,0.641727348629754
4.48398622667209,0.641727348631213
4.53398622667209,0.641727348635103
4.58398622667209,0.641727348638896
4.63398622667209,0.641727348640147
4.68398622667209,0.641727348641735
4.73398622667209,0.641727348642365
4.78398622667209,0.641727348643079
4.83398622667209,0.641727348643861
4.88398622667209,0.641727348644013
4.93398622667209,0.641727348644494
4.98398622667209,0.641727348644802
5.03398622667209,0.641727348645031
5.08398622667209,0.641727348645207
5.13398622667209,0.641727348645298
5.18398622667209,0.64172734864541
5.23398622667209,0.641727348645504
5.28398622667209,0.641727348645621
5.33398622667209,0.641727348645672
5.38398622667209,0.641727348645679
5.43398622667209,0.641727348645729
5.48398622667209,0.641727348645752
5.53398622667209,0.641727348645768
5.58398622667209,0.64172734864577
5.63398622667209,0.641727348645788
5.68398622667209,0.641727348645794
5.73398622667209,0.6417273486458
5.78398622667209,0.641727348645804
5.83398622667208,0.64172734864581
5.88398622667208,0.641727348645814
5.93398622667208,0.641727348645818
5.98398622667208,0.641727348645817
6.03398622667208,0.641727348645819
6.08398622667208,0.64172734864582
6.13398622667208,0.641727348645822
6.18398622667208,0.641727348645822
6.23398622667208,0.641727348645823
6.28398622667208,0.641727348645823
6.33398622667208,0.641727348645824
6.38398622667208,0.641727348645824
6.43398622667208,0.641727348645824
6.48398622667208,0.641727348645824
6.53398622667208,0.641727348645824
6.58398622667208,0.641727348645824
6.63398622667208,0.641727348645825
6.68398622667208,0.641727348645825
6.73398622667208,0.641727348645825
6.78398622667208,0.641727348645825
6.83398622667208,0.641727348645825
6.88398622667208,0.641727348645825
6.93398622667208,0.641727348645825
6.98398622667208,0.641727348645825
7.03398622667208,0.641727348645825
7.08398622667208,0.641727348645825
7.13398622667208,0.641727348645825
7.18398622667208,0.641727348645825
7.23398622667208,0.641727348645825
7.28398622667208,0.641727348645825
7.33398622667208,0.641727348645825
7.38398622667208,0.641727348645825
7.43398622667208,0.641727348645825
7.48398622667208,0.641727348645825
7.53398622667208,0.641727348645825
7.58398622667208,0.641727348645825
7.63398622667208,0.641727348645825
7.68398622667208,0.641727348645825
7.73398622667208,0.641727348645825
7.78398622667208,0.641727348645825
7.83398622667208,0.641727348645825
7.88398622667208,0.641727348645825
7.93398622667208,0.641727348645825
7.98398622667208,0.641727348645825
8.03398622667208,0.641727348645825
8.08398622667208,0.641727348645825
8.13398622667208,0.641727348645825
