Tempo,Velocidade
0,0
3.15544362088405e-30,3.06259542007705e-29
0.000135770569278355,0.00131475666312691
0.000585565399782006,0.00562987322995541
0.00145612553193782,0.0138035917518983
0.00326755999570205,0.0300842598286305
0.00671883337145208,0.0585292279111714
0.0122319312128873,0.0976073145783861
0.0204448620892541,0.143555237824947
0.0320987743029091,0.189146131817108
0.0480710165206153,0.225465375581714
0.0693747825199208,0.245058579858919
0.097151630084102,0.245008504590142
0.132907256542515,0.227505911789074
0.180276183285962,0.196477341288212
0.230276183285962,0.16436474315923
0.280276183285962,0.136002286042477
0.330276183285962,0.111729965298238
0.380276183285962,0.0912442844365606
0.430276183285962,0.0741148412780122
0.480276183285962,0.0599011191824376
0.530276183285962,0.0481863800069398
0.580276183285962,0.0385903578565888
0.630276183285962,0.0307741038404317
0.680276183285963,0.0244407945376833
0.730276183285963,0.0193341799777856
0.780276183285963,0.0152356599787516
0.830276183285963,0.01196064494642
0.880276183285963,0.00935464268166355
0.930276183285963,0.0072893633775364
0.980276183285963,0.00565902186891386
1.03027618328596,0.00437694359296816
1.08027618328596,0.00337252388385912
1.13027618328596,0.00258855798692918
1.18027618328596,0.00197892795306863
1.23027618328596,0.00150662905216642
1.28027618328596,0.00114210066989679
1.33027618328596,0.000861828074866932
1.38027618328596,0.000647183114450235
1.43027618328596,0.000483465665484207
1.48027618328596,0.000359120568025507
1.53027618328596,0.000265098756539542
1.58027618328596,0.000194340451124154
1.63027618328596,0.000141358046147574
1.68027618328596,0.00010190208213068
1.73027618328596,7.26942369893871e-05
1.78027618328596,5.1215121392808e-05
1.83027618328596,3.55361988935142e-05
1.88027618328596,2.41872804977477e-05
1.93027618328596,1.60523274828978e-05
1.98027618328596,1.02879546383078e-05
2.03027618328596,6.259827222444e-06
2.08027618328596,3.49328256430802e-06
2.13027618328596,1.63508901587367e-06
2.18027618328596,4.23965007758305e-07
2.23027618328596,-3.32064287740952e-07
2.28027618328596,-7.72995352201437e-07
2.33027618328596,-1.00004789229101e-06
2.38027618328596,-1.08568153082253e-06
2.43027618328596,-1.08115733493342e-06
2.48027618328596,-1.02222855640162e-06
2.53027618328596,-9.33391221180032e-07
2.58027618328596,-8.31043619620506e-07
2.63027618328596,-7.25829132452565e-07
2.68027618328596,-6.24343508441515e-07
2.73027618328596,-5.3039192113177e-07
2.78027618328596,-4.45889343703474e-07
2.83027618328596,-3.71505585134251e-07
2.88027618328596,-3.07120042714876e-07
2.93027618328596,-2.52136418541844e-07
2.98027618328596,-2.05710147357099e-07
3.03027618328596,-1.66883144350837e-07
3.08027618328596,-1.34680818390632e-07
3.13027618328596,-1.08165727222143e-07
3.18027618328596,-8.64745146768016e-08
3.23027618328596,-6.88344356168965e-08
3.28027618328596,-5.45660430789764e-08
3.33027618328596,-4.30852536432105e-08
3.38027618328596,-3.38871705430257e-08
3.43027618328596,-2.65500851170717e-08
3.48027618328596,-2.07259713614348e-08
3.53027618328596,-1.61172554136601e-08
3.58027618328596,-1.24868412476541e-08
3.63027618328596,-9.6384871724172e-09
3.68027618328596,-7.41344793868252e-09
3.73027618328596,-5.6766378417239e-09
3.78027618328596,-4.32603274296165e-09
3.83027618328596,-3.28920546553196e-09
3.88027618328596,-2.4853172936775e-09
3.93027618328596,-1.86989384356806e-09
3.98027618328596,-1.40409859600408e-09
4.03027618328596,-1.04654048239368e-09
4.08027618328596,-7.72610358877918e-10
4.13027618328596,-5.68554537758425e-10
4.18027618328596,-4.1520442931981e-10
4.23027618328596,-2.99382724801939e-10
4.28027618328596,-2.15157426705203e-10
4.33027618328596,-1.52329487831452e-10
4.38027618328596,-1.06577158005677e-10
4.43027618328596,-7.30907219246521e-11
4.48027618328596,-4.91965091392878e-11
4.53027618328596,-3.19619910115444e-11
