Tempo,Posicao_mm
0,5
3.15544362088405e-30,5
0.000136906493032047,5.00009079680104
0.00059075356044493,5.00168205120553
0.0014693367548986,5.01030724226815
0.00329857199656153,5.05092108988491
0.00679195644863436,5.20793965658793
0.012379188980621,5.65150577618351
0.0207135617263023,6.67586123981874
0.0325592617543649,8.68908762518073
0.0488282990878186,12.1431091541521
0.0705784526632919,17.3972353695943
0.0989934067322468,24.5692629262314
0.135608883320226,33.5208291727723
0.183986226672097,44.2113917253536
0.233986226672097,53.7289312588879
0.283986226672097,61.7798839381147
0.333986226672097,68.5362562446423
0.383986226672097,74.1748291467766
0.433986226672097,78.8591437540225
0.483986226672097,82.735348262987
0.533986226672097,85.9316616310295
0.583986226672097,88.559124760411
0.633986226672097,90.7129269228318
0.683986226672098,92.473987857287
0.733986226672098,93.9106140230508
0.783986226672098,95.0801191302167
0.833986226672098,96.0303442551399
0.883986226672098,96.8010431058185
0.933986226672098,97.4251178818218
0.983986226672098,97.9297041750537
1.0339862266721,98.3371112937308
1.0839862266721,98.6656288703724
1.1339862266721,98.9302129064429
1.1839862266721,99.1430651069156
1.2339862266721,99.3141191490884
1.2839862266721,99.4514466596484
1.3339862266721,99.561594645988
1.3839862266721,99.6498648192799
1.4339862266721,99.7205439750891
1.4839862266721,99.7770934398118
1.5339862266721,99.8223043882141
1.5839862266721,99.8584248665461
1.6339862266721,99.8872634337067
1.6839862266721,99.910273535807
1.7339862266721,99.9286220713647
1.7839862266721,99.9432450111712
1.8339862266721,99.9548924366116
1.8839862266721,99.9641649589393
1.9339862266721,99.9715431276445
1.9839862266721,99.9774111452068
2.0339862266721,99.9820759684592
2.0839862266721,99.9857826743844
2.1339862266721,99.9887268113218
2.1839862266721,99.9910643141355
2.2339862266721,99.9929194568972
2.2839862266721,99.9943912276079
2.3339862266721,99.9955584310962
2.3839862266721,99.9964837732997
2.4339862266721,99.9972171266249
2.4839862266721,99.997798137059
2.5339862266721,99.9982583084229
2.5839862266721,99.9986226635917
2.6339862266721,99.9989110695846
2.6839862266721,99.9991392938976
2.7339862266721,99.9993198456768
2.7839862266721,99.9994626456458
2.8339862266721,99.9995755583218
2.8839862266721,99.999664816837
2.9339862266721,99.9997353595628
2.9839862266721,99.9997910982392
3.03398622667209,99.9998351298863
