Tempo,Velocidade
0,0
3.15544362088405e-30,3.06284855164615e-29
0.000136906493032047,0.00132589154977723
0.00059075356044493,0.00568065275996827
0.0014693367548986,0.0139325642533232
0.00329857199656153,0.0303845885460783
0.00679195644863436,0.0592141958350815
0.012379188980621,0.0989106477346361
0.0207135617263023,0.145736540478529
0.0325592617543649,0.192451217562226
0.0488282990878186,0.230068435136436
0.0705784526632919,0.251004824533162
0.0989934067322468,0.252221394108779
0.135608883320226,0.235859135877247
0.183986226672097,0.205901556782718
0.233986226672097,0.175021436574221
0.283986226672097,0.147319323455124
0.333986226672097,0.123234731446429
0.383986226672097,0.102583345694591
0.433986226672097,0.0850349879567612
0.483986226672097,0.0702287985170338
0.533986226672097,0.0578104431039008
0.583986226672097,0.0474481011028403
0.633986226672097,0.0388399739486698
0.683986226672098,0.0317172129487313
0.733986226672098,0.0258440788304825
0.783986226672098,0.0210164318155113
0.833986226672098,0.0170592781759014
0.883986226672098,0.0138238634461297
0.933986226672098,0.0111846262442462
0.983986226672098,0.00903621894803891
1.0339862266721,0.0072907116813427
1.0839862266721,0.00587504370278697
1.1339862266721,0.00472875042868988
1.1839862266721,0.00380196774094385
1.2339862266721,0.00305370325971634
1.2839862266721,0.00245035211913975
1.3339862266721,0.00196443653787538
1.3839862266721,0.00157354016455349
1.4339862266721,0.00125941405273356
1.4839862266721,0.00100723097050243
1.5339862266721,0.000804964686705353
1.5839862266721,0.000642877025711246
1.6339862266721,0.000513094348296986
1.6839862266721,0.000409259309995359
1.7339862266721,0.000326245647006697
1.7839862266721,0.000259924774934387
1.8339862266721,0.000206975282668947
1.8839862266721,0.000164728042999921
1.9339862266721,0.000131040182803793
1.9839862266721,0.000104192969977788
2.0339862266721,8.28090550334816e-05
2.0839862266721,6.57855696277662e-05
2.1339862266721,5.22401536055543e-05
2.1839862266721,4.14673448951711e-05
2.2339862266721,3.29035406074556e-05
2.2839862266721,2.60987681057305e-05
2.3339862266721,2.06939829013959e-05
2.3839862266721,1.64029085327085e-05
2.4339862266721,1.29973627169651e-05
2.4839862266721,1.0295605687027e-05
2.5339862266721,8.1529831832545e-06
2.5839862266721,6.454357524112e-06
2.6339862266721,5.10817705713414e-06
2.6839862266721,4.04165613163796e-06
2.7339862266721,3.19696569715011e-06
2.7839862266721,2.5281457674887e-06
2.8339862266721,1.99874487879205e-06
2.8839862266721,1.57982630463614e-06
2.9339862266721,1.24841062408245e-06
2.9839862266721,9.86299570348246e-07
3.03398622667209,7.79048726025645e-07
3.08398622667209,6.15213624397702e-07
3.13398622667209,4.85734493923437e-07
3.18398622667209,3.8342153621686e-07
3.23398622667209,3.02608089143452e-07
3.28398622667209,2.38775289006642e-07
3.33398622667209,1.88375140273533e-07
3.38398622667209,1.4858449871351e-07
3.43398622667209,1.17182226529363e-07
3.48398622667209,9.24045683916342e-08
3.53398622667209,7.2847170901643e-08
3.58398622667209,5.74218491211096e-08
3.63398622667209,4.52516996180856e-08
3.68398622667209,3.56585137319835e-08
3.73398622667209,2.80936599172885e-08
3.78398622667209,2.21293868213432e-08
3.83398622667209,1.74340752035192e-08
3.88398622667209,1.37209516244395e-08
3.93398622667209,1.08061397077776e-08
3.98398622667209,8.51432039715953e-09
4.03398622667209,6.7017916280614e-09
4.08398622667209,5.26984125801674e-09
4.13398622667209,4.15076549617387e-09
4.18398622667209,3.26663257903378e-09
4.23398622667209,2.57006537997092e-09
4.28398622667209,2.02064363223788e-09
4.33398622667209,1.59099396720834e-09
4.38398622667209,1.2513623541608e-09
4.43398622667209,9.83899860458505e-10
4.48398622667209,7.72621497420314e-10
4.53398622667209,6.08303921069482e-10
4.58398622667209,4.78987450707537e-10
4.63398622667209,3.76004521648688e-10
4.68398622667209,2.95481261132189e-10
4.73398622667209,2.31839782187878e-10
4.78398622667209,1.82062119463975e-10
4.83398622667209,1.43071494917607e-10
4.88398622667209,1.12183406986263e-10
4.93398622667209,8.81834659031241e-11
4.98398622667209,6.92602541491397e-11
5.03398622667209,5.43842100588121e-11
5.08398622667209,4.26980721397067e-11
5.13398622667209,3.35006300704809e-11
5.18398622667209,2.63107387857905e-11
5.23398622667209,2.06647167465075e-11
5.28398622667209,1.62457682037821e-11
5.33398622667209,1.27420043874004e-11
5.38398622667209,9.977680029119e-12
5.43398622667209,7.83843844190387e-12
5.48398622667209,6.14644172809946e-12
5.53398622667209,4.81807055054339e-12
5.58398622667209,3.77241030006949e-12
5.63398622667209,2.96362536672917e-12
5.68398622667209,2.32264678003569e-12
5.73398622667209,1.82153812885538e-12
5.78398622667209,1.42795893276784e-12
5.83398622667208,1.12122341530772e-12
5.88398622667208,8.79492602788327e-13
5.93398622667208,6.9029691606193e-13
